series_id,series_length,series_descrip
pudwck5,2,FILTER FOR PASSIVE JOB SEEKERS;
pejhwko,2,HAVE YOU WORKED AT A JOB OR BUSINESS;
pujhdp1o,2,DID YOU DO ANY OF THIS WORK IN;
pejhrsn,2,WHAT IS THE MAIN REASON YOU LEFT;
pejhwant,2,DO YOU INTEND TO LOOK FOR WORK DURING;
pujhck1,2,FILTER FOR OUTGOING ROTATIONS;
pujhck2,2,FILTER FOR PERSONS GOING THROUGH THE;
prabsrea,2,REASON NOT AT WORK AND PAY STATUS;
prcivlf,2,CIVILIAN LABOR FORCE;
prdisc,2,DISCOURAGED WORKER RECODE;
premphrs,2,REASON NOT AT WORK OR HOURS AT WORK;
prempnot,2,"MLR - EMPLOYED, UNEMPLOYED, OR NILF;"
prexplf,2,EXPERIENCED LABOR FORCE EMPLOYMENT;
prftlf,2,FULL TIME LABOR FORCE;
prhrusl,2,USUAL HOURS WORKED WEEKLY;
prjobsea,2,JOB SEARCH RECODE;
prpthrs,2,AT WORK 1-34 BY HOURS AT WORK;
prptrea,2,DETAILED REASON FOR PART-TIME;
prunedur,3,DURATION OF UNEMPLOYMENT FOR;
fill7,2,FILLER
pruntype,2,REASON FOR UNEMPLOYMENT;
prwksch,2,LABOR FORCE BY TIME;
prwkstat,2,FULL/PART-TIME WORK STATUS;
prwntjob,2,NILF RECODE - WANT A JOB OR OTHER NILF;
pujhck3,2,JOB HISTORY CHECK ITEM;
pujhck4,2,SCREEN FOR DEPENDENT NILF;
pujhck5,2,SCREEN FOR DEPENDENT NILF;
puiodp1,2,"LAST MONTH, IT WAS REPORTED THAT YOU;"
puiodp2,2,HAVE THE USUAL ACTIVITIES AND DUTIES;
puiodp3,2,LAST MONTH YOU WERE REPORTED AS (A/AN);
peio1cow,2,INDIVIDUAL CLASS OF WORKER CODE;
puio1mfg,2,IS THIS BUSINESS OR ORGANIZATION MAINL;
padding1,6,PADDING
peio2cow,2,INDIVIDUAL CLASS OF WORKER ON;
puio2mfg,2,IS THIS BUSINESS OR ORGANIZATION MAINL;
padding2,6,PADDING
puiock1,2,I & O CHECK ITEM 1;
puiock2,2,I & O CHECK ITEM 2;
puiock3,2,I & O CHECK ITEM 3;
prioelg,2,INDUSTRY AND OCCUPATION;
pragna,2,AGRICULTURE/;
prcow1,2,CLASS OF WORKER;
prcow2,2,CLASS OF WORKER;
prcowpg,2,COW - PRIVATE OR GOVERNMENT;
prdtcow1,2,DETAILED CLASS OF WORKER RECODE - JOB ;
prdtcow2,2,DETAILED CLASS OF WORKER RECODE - JOB ;
prdtind1,2,DETAILED INDUSTRY RECODE - JOB 1;
prdtind2,2,DETAILED INDUSTRY RECODE - JOB 2;
prdtocc1,2,DETAILED OCCUPATION RECODE - JOB 1;
prdtocc2,2,DETAILED OCCUPATION RECODE;
premp,2,EMPLOYED PERSONS (NON-FARM;
prmjind1,2,MAJOR INDUSTRY RECODE - JOB 1;
prmjind2,2,MAJOR INDUSTRY RECODE - JOB 2;
prmjocc1,2,MAJOR OCCUPATION RECODE - JOB 1;
prmjocc2,2,MAJOR OCCUPATION RECODE - JOB 2;
prmjocgr,2,MAJOR OCCUPATION CATEGORIES;
prnagpws,2,"NON-AGRICULTURE, PRIVATE;"
prnagws,2,NON-AGRICULTURE WAGE AND;
prsjmj,2,SINGLE/MULTIPLE JOBHOLDER;
prerelg,2,EARNINGS ELIGIBILITY FLAG;
peernuot,2,"DO YOU USUALLY RECEIVE OVERTIME PAY,;"
peernper,2,PERIODICITY;
peernrt,2,(EVEN THOUGH YOU TOLD ME IT IS EASIER;
peernhry,2,HOURLY/NONHOURLY STATUS;
puernh1c,4,WHAT IS YOUR HOURLY RATE OF PAY ON;
peernh2,4,"(EXCLUDING OVERTIME PAY, TIPS AND;"
peernh1o,4,OUT VARIABLE FOR HOURLY;
prernhly,4,RECODE FOR HOURLY RATE;
pthr,1,HOURLY PAY - TOP CODE;
peernhro,2,USUAL HOURS;
prernwa,8,WEEKLY EARNINGS RECODE;
ptwk,1,WEEKLY EARNINGS - TOP CODE;
fill8,4,FILLER
peern,8,CALCULATED WEEKLY OVERTIME AMOUNT;
puern2,8,CALCULATED WEEKLY;
ptot,1,WEEKLY OVERTIME AMOUNT - TOP CODE;
fill9,2,FILLER
peernwkp,2,HOW MANY WEEKS A YEAR DO YOU;
peernlab,2,"ON THIS JOB, ARE YOU A MEMBER OF A;"
peerncov,2,ON THIS JOB ARE YOU COVERED BY A UNION;
penlfjh,2,WHEN DID YOU LAST WORK AT A JOB;
penlfret,2,ARE YOU RETIRED FROM A JOB;
penlfact,2,WHAT BEST DESCRIBES YOUR SITUATION AT;
punlfck1,2,NOT IN LABOR FORCE;
punlfck2,2,NOT IN LABOR FORCE;
peschenr,2,"LAST WEEK, WERE YOU ENROLLED IN A;"
peschft,2,ARE YOU ENROLLED IN SCHOOL AS A;
peschlvl,2,"WOULD THAT BE HIGH SCHOOL, COLLEGE,;"
prnlfsch,2,NLF ACTIVITY - IN SCHOOL OR NOT IN SCH;
pwfmwgt,10,FAMILY WEIGHT;
pwlgwgt,10,LONGITUDINAL WEIGHT;
pworwgt,10,OUTGOING ROTATION WEIGHT;
pwsswgt,10,FINAL WEIGHT;
pwvetwgt,10,VETERANS WEIGHT;
prchld,2,PRESENCE OF OWN CHILDREN <18 YEARS;
prnmchld,2,Number of own children <18 years of ag;
fill10,2,FILLER
prwernal,2,ALLOCATION FLAG;
prhernal,2,ALLOCATION FLAG;
hxtenure,2,ALLOCATION FLAG;
hxhousut,2,ALLOCATION FLAG;
hxtelhhd,2,ALLOCATION FLAG;
hxtelavl,2,ALLOCATION FLAG;
hxphoneo,2,ALLOCATION FLAG;
pxinusyr,2,ALLOCATION FLAG;
pxrrp,2,ALLOCATION FLAG;
pxparent,2,ALLOCATION FLAG;
pxage,2,ALLOCATION FLAG;
pxmaritl,2,ALLOCATION FLAG;
pxspouse,2,ALLOCATION FLAG;
pxsex,2,ALLOCATION FLAG;
pxafwhn1,2,ALLOCATION FLAG;
pxafnow,2,ALLOCATION FLAG;
pxeduca,2,ALLOCATION FLAG;
pxrace1,2,ALLOCATION FLAG;
pxnatvty,2,ALLOCATION FLAG;
pxmntvty,2,ALLOCATION FLAG;
pxfntvty,2,ALLOCATION FLAG;
fill11,2,FILLER
pxhspnon,2,ALLOCATION FLAG;
pxmlr,2,ALLOCATION FLAG;
pxret1,2,ALLOCATION FLAG;
pxabsrsn,2,ALLOCATION FLAG;
pxabspdo,2,ALLOCATION FLAG;
pxmjot,2,ALLOCATION FLAG;
pxmjnum,2,ALLOCATION FLAG;
pxhrusl1,2,ALLOCATION FLAG;
pxhrusl2,2,ALLOCATION FLAG;
pxhrftpt,2,ALLOCATION FLAG;
pxhruslt,2,ALLOCATION FLAG;
pxhrwant,2,ALLOCATION FLAG;
pxhrrsn1,2,ALLOCATION FLAG;
pxhrrsn2,2,ALLOCATION FLAG;
pxhract1,2,ALLOCATION FLAG;
pxhract2,2,ALLOCATION FLAG;
pxhractt,2,ALLOCATION FLAG;
pxhrrsn3,2,ALLOCATION FLAG;
pxhravl,2,ALLOCATION FLAG;
pxlayavl,2,ALLOCATION FLAG;
pxlaylk,2,ALLOCATION FLAG;
pxlaydur,2,ALLOCATION FLAG;
pxlayfto,2,ALLOCATION FLAG;
pxlkm1,2,ALLOCATION FLAG;
pxlkavl,2,ALLOCATION FLAG;
pxlkll1o,2,ALLOCATION FLAG;
pxlkll2o,2,ALLOCATION FLAG;
pxlklwo,2,ALLOCATION FLAG;
pxlkdur,2,ALLOCATION FLAG;
pxlkfto,2,ALLOCATION FLAG;
pxdwwnto,2,ALLOCATION FLAG;
pxdwrsn,2,ALLOCATION FLAG;
pxdwlko,2,ALLOCATION FLAG;
pxdwwk,2,ALLOCATION FLAG;
pxdw4wk,2,ALLOCATION FLAG;
pxdwlkwk,2,ALLOCATION FLAG;
pxdwavl,2,ALLOCATION FLAG;
pxdwavr,2,ALLOCATION FLAG;
pxjhwko,2,ALLOCATION FLAG;
pxjhrsn,2,ALLOCATION FLAG;
pxjhwant,2,ALLOCATION FLAG;
pxio1cow,2,ALLOCATION FLAG;
pxio1icd,2,ALLOCATION FLAG;
pxio1ocd,2,ALLOCATION FLAG;
pxio2cow,2,ALLOCATION FLAG;
pxio2icd,2,ALLOCATION FLAG;
pxio2ocd,2,ALLOCATION FLAG;
pxernuot,2,ALLOCATION FLAG;
pxernper,2,ALLOCATION FLAG;
pxernh1o,2,ALLOCATION FLAG;
pxernhro,2,ALLOCATION FLAG;
pxern,2,ALLOCATION FLAG;
fill12,4,FILLER
pxernwkp,2,ALLOCATION FLAG;
pxernrt,2,ALLOCATION FLAG;
pxernhry,2,ALLOCATION FLAG;
pxernh2,2,ALLOCATION FLAG;
pxernlab,2,ALLOCATION FLAG;
pxerncov,2,ALLOCATION FLAG;
pxnlfjh,2,ALLOCATION FLAG;
pxnlfret,2,ALLOCATION FLAG;
pxnlfact,2,ALLOCATION FLAG;
pxschenr,2,ALLOCATION FLAG;
pxschft,2,ALLOCATION FLAG;
pxschlvl,2,ALLOCATION FLAG;
qstnum,5,Unique household identifier. Valid onl;
occurnum,2,Unique person identifier. Valid only w;
pedipged,2,How did...get...'s high school diploma;
pehgcomp,2,What was the highest grade of regular;
pecyc,2,How many years of college credit has..;
pegrprof,2,"Since completing...bachelor's degree, ;"
pegr6cor,2,Did...complete 6 or more graduate or p;
pems123,2,Was ... master's degree program a 1 ye;
pxdipged,2,ALLOCATION FLAG;
pxhgcomp,2,ALLOCATION FLAG;
pxcyc,2,ALLOCATION FLAG;
pxgrprof,2,ALLOCATION FLAG;
pxgr6cor,2,ALLOCATION FLAG;
pxms123,2,ALLOCATION FLAG;
pwcmpwgt,10,Composited Final Weight. Used to creat;
peio1icd,4,INDUSTRY CODE FOR PRIMARY JOB;
peio1ocd,4,OCCUPATION CODE FOR PRIMARY JOB.;
peio2icd,4,INDUSTRY CODE FOR SECOND JOB.;
peio2ocd,4,OCCUPATION CODE FOR SECOND JOB.;
primind1,2,INTERMEDIATE INDUSTRY RECODE (JOB 1);
primind2,2,INTERMEDIATE INDUSTRY RECODE (JOB 2);
peafwhn1,2,WHEN DID YOU SERVE?;
peafwhn2,2,WHEN DID YOU SERVE?;
peafwhn3,2,WHEN DID YOU SERVE?;
peafwhn4,2,WHEN DID YOU SERVE?;
pxafever,2,ALLOCATION FLAG;
pelndad,2,LINE NUMBER OF FATHER;
pelnmom,2,LINE NUMBER OF MOTHER;
pedadtyp,2,TYPE OF FATHER;
pemomtyp,2,TYPE OF MOTHER;
pecohab,2,LINE NUMBER OF COHABITING PARTNER;
pxlndad,2,ALLOCATION FLAG;
pxlnmom,2,ALLOCATION FLAG;
pxdadtyp,2,ALLOCATION FLAG;
pxmomtyp,2,ALLOCATION FLAG;
pxcohab,2,ALLOCATION FLAG;
pedisear,2,IS...DEAF OR DOES...HAVE SERIOUS;
pediseye,2,IS...BLIND OR DOES...HAVE SERIOUS;
pedisrem,2,"BECAUSE OF A PHYSICAL, MENTAL, OR;"
pedisphy,2,DOES...HAVE SERIOUS DIFFICULTY;
pedisdrs,2,DOES ... HAVE DIFFICULTY;
pedisout,2,"BECAUSE OF A PHYSICAL, MENTAL, OR;"
prdisflg,2,DOES THIS PERSON HAVE ANY OF;
pxdisear,2,ALLOCATION FLAG;
pxdiseye,2,ALLOCATION FLAG;
pxdisrem,2,ALLOCATION FLAG;
pxdisphy,2,ALLOCATION FLAG;
pxdisdrs,2,ALLOCATION FLAG;
pxdisout,2,ALLOCATION FLAG;
hxfaminc,2,ALLOCATION FLAG;
prdasian,2,DETAILED ASIAN RACE RECODE;
filler,15,FILLER
